id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-1209517";"2021-02-23";"1";"Vente";"267000.0";"64.0";"None";"RUE DE L EPINE";"0230";"73160";"73087";"Cognin";"73";"None";"None";"73087000AD0045";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"65.0";"4.0";"S";"sols";"None";"None";"645.0";"5.892149";"45.562824";"000AD"
"2020-1033644";"2020-12-04";"1";"Vente";"261050.0";"66.0";"B";"RUE DE L EPINE";"0230";"73160";"73087";"Cognin";"73";"None";"None";"73087000AD0229";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"71.0";"5.0";"S";"sols";"None";"None";"303.0";"5.891822";"45.563212";"000AD"
"2020-1033644";"2020-12-04";"1";"Vente";"261050.0";"66.0";"None";"RUE DE L EPINE";"0230";"73160";"73087";"Cognin";"73";"None";"None";"73087000AD0231";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"16.0";"5.891848";"45.563124";"000AD"
"2020-1031039";"2020-09-26";"1";"Vente";"414500.0";"3.0";"None";"CHE DE FRANCOIS";"0315";"73160";"73087";"Cognin";"73";"None";"None";"73087000AD0225";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"149.0";"7.0";"S";"sols";"None";"None";"726.0";"5.89255";"45.565007";"000AD"
"2020-1031039";"2020-09-26";"1";"Vente";"414500.0";"nan";"None";"CHIRON";"B008";"73160";"73087";"Cognin";"73";"None";"None";"73087000AD0143";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"575.0";"5.892473";"45.565385";"000AD"
"2020-1031039";"2020-09-26";"1";"Vente";"414500.0";"nan";"None";"CHIRON";"B008";"73160";"73087";"Cognin";"73";"None";"None";"73087000AD0223";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"12.0";"5.892344";"45.5652";"000AD"
"2019-1080058";"2019-10-04";"1";"Vente";"375000.0";"23.0";"None";"AV HENRY BORDEAUX";"0400";"73160";"73087";"Cognin";"73";"None";"None";"73087000AD0142";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"86.0";"3.0";"S";"sols";"None";"None";"500.0";"5.892919";"45.565107";"000AD"
"2019-1080058";"2019-10-04";"1";"Vente";"375000.0";"23.0";"None";"AV HENRY BORDEAUX";"0400";"73160";"73087";"Cognin";"73";"None";"None";"73087000AD0142";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"86.0";"3.0";"P";"prés";"None";"None";"930.0";"5.892919";"45.565107";"000AD"
"2019-1080058";"2019-10-04";"1";"Vente";"375000.0";"nan";"None";"CHIRON";"B008";"73160";"73087";"Cognin";"73";"None";"None";"73087000AD0143";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"575.0";"5.892473";"45.565385";"000AD"
"2019-1080058";"2019-10-04";"1";"Vente";"375000.0";"nan";"None";"CHIRON";"B008";"73160";"73087";"Cognin";"73";"None";"None";"73087000AD0223";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"12.0";"5.892344";"45.5652";"000AD"
